Date,Price,Open,High,Low,Volume,Change,Year
2022-12-26,16918.1,16831.8,16936.1,16799.4,133360.0,0.51,2022
2022-12-27,16706.1,16918.2,16964.0,16610.1,192180.0,-1.25,2022
2022-12-28,16546.2,16705.9,16781.1,16474.2,217960.0,-0.96,2022
2022-12-29,16636.4,16546.2,16659.1,16496.6,181470.0,0.55,2022
2022-12-30,16607.2,16636.4,16644.4,16360.0,192760.0,-0.18,2022
2022-12-31,16537.4,16607.2,16635.9,16487.3,130440.0,-0.42,2022
2023-01-01,16618.4,16537.5,16621.9,16499.7,107840.0,0.49,2023
2023-01-02,16674.3,16618.4,16766.9,16551.0,136030.0,0.34,2023
2023-01-03,16674.2,16673.1,16773.2,16607.2,178730.0,0.0,2023
2023-01-04,16852.1,16674.2,16976.5,16656.5,247390.0,1.07,2023
2023-01-05,16829.8,16852.2,16877.9,16772.3,178960.0,-0.13,2023
2023-01-06,16950.9,16829.8,17012.3,16707.6,233470.0,0.72,2023
2023-01-07,16943.6,16950.9,16979.6,16909.7,110480.0,-0.04,2023
2023-01-08,17119.0,16943.6,17119.0,16913.8,144840.0,1.04,2023
2023-01-09,17180.1,17119.0,17390.8,17107.1,301240.0,0.36,2023
2023-01-10,17439.1,17180.1,17491.0,17151.7,247140.0,1.51,2023
2023-01-11,17942.3,17440.5,17989.8,17323.9,291530.0,2.89,2023
2023-01-12,18851.3,17941.0,19055.3,17915.5,522010.0,5.07,2023
2023-01-13,19927.0,18850.8,19981.6,18723.8,426670.0,5.71,2023
2023-01-14,20958.2,19926.9,21185.6,19898.6,458210.0,5.17,2023
2023-01-15,20879.8,20956.0,21032.2,20585.7,205800.0,-0.37,2023
2023-01-16,21184.2,20880.1,21416.8,20698.9,337460.0,1.46,2023
2023-01-17,21137.1,21184.4,21506.4,20926.2,310040.0,-0.22,2023
2023-01-18,20670.6,21137.1,21584.1,20448.3,388670.0,-2.21,2023
2023-01-19,21081.2,20670.6,21169.4,20669.7,275760.0,1.99,2023
2023-01-20,22677.2,21074.9,22718.5,20879.3,373740.0,7.57,2023
2023-01-21,22775.7,22677.5,23304.5,22461.1,382690.0,0.43,2023
2023-01-22,22707.8,22775.7,23068.7,22323.0,280640.0,-0.3,2023
